Total_Mortality,Cardiovascular_Mortality,Temperature,Relative_Humidity,Carbon_Monoxide,Sulfur_Dioxideglm.LAshumway,Nitrogen_Dioxide,Hydrocarbons,Ozone,Particulates,action
0.7298608223771216,0.6120105179588611,-0.32366689496632567,-0.08155513818458604,0.3064187984058393,0.02083107218486981,0.0831046533359494,0.21255000555967488,-0.3292756993616068,0.27060025915499536,done
176.53177083333333,93.23135416666666,71.20598958333335,56.528229166666684,9.142552083333333,2.8266666666666667,11.376666666666665,53.54255208333334,6.756614583333331,51.3930208333333,done
162.22534391534387,85.24513227513229,76.02354497354496,60.60714285714288,6.980634920634924,2.8307936507936513,10.827671957671956,47.87328042328039,9.233333333333334,43.159523809523805,done
0.7081248346108595,0.5828147924964979,-0.333987313959741,-0.09581453126849114,0.3089815273709975,-0.00563570240036027,0.06101495479498452,0.2156345586138588,-0.3718025555316918,0.282550492862091,log
5.170133003609659,4.5286048846879945,4.257709673011081,4.000892152193815,2.105239620409639,0.9588150184741351,2.3609792399082825,3.945361018467569,1.7269123341007264,3.89396405104775,log
5.087347912809316,4.4417424292429,4.325349505581422,4.086840471184397,1.8509587995281995,0.9869284830674299,2.325582370732123,3.8347829323121556,2.1081755608183332,3.713867215791061,log
0.703795442825148,0.5761547413766762,-0.3359223009805389,-0.09801672194998319,0.3036756039571801,-0.030017068255815516,0.05254721141329001,0.2161021294688367,-0.36166436260395285,0.2844481419964442,log
1.6427750927216105,1.5101010872026783,1.4483057338193202,1.3840845009543559,0.7179836318509439,-0.15778098674374988,0.8461711625233433,1.3702979631745364,0.4700486343510473,1.3563269302093068,log
1.626693578626764,1.4908550066249904,1.4641789185353973,1.4065424990716098,0.5897897076040627,-0.07851206670091238,0.8330614285779077,1.3417945103752784,0.7091014668136979,1.308485058600774,log
0.703795442825148,0.5761547413766762,-0.3359223009805389,-0.09801672194998319,0.3036756039571801,-0.030017068255815516,0.05254721141329001,0.2161021294688367,-0.36166436260395285,0.2844481419964442,done
1.6427750927216105,1.5101010872026783,1.4483057338193202,1.3840845009543559,0.7179836318509439,-0.15778098674374988,0.8461711625233433,1.3702979631745364,0.4700486343510473,1.3563269302093068,done
1.626693578626764,1.4908550066249904,1.4641789185353973,1.4065424990716098,0.5897897076040627,-0.07851206670091238,0.8330614285779077,1.3417945103752784,0.7091014668136979,1.308485058600774,done
